alpha,delta,class
180.0606291,34.28360107,STAR
323.9154506,0.926049008,GALAXY
319.4303506,0.869747297,GALAXY
323.5221625,0.882431579,GALAXY
146.8162461,0.944088514,GALAXY
12.29578493,-1.168798249,GALAXY
6.649260759,35.96280932,STAR
135.0834784,56.60236543,STAR
217.1520024,26.18631937,GALAXY
0.981272056,5.139477701,GALAXY
254.5498085,20.69602249,STAR
138.8540178,16.76244013,GALAXY
156.1208403,47.51073253,GALAXY
249.2262291,12.28813478,GALAXY
196.0428828,58.22824552,GALAXY
110.5441354,41.00740652,STAR
327.5899941,9.373419035,GALAXY
114.475031,47.10914284,STAR
221.3112514,37.2972854,GALAXY
226.1042554,35.44757047,GALAXY
202.1416685,41.85227707,QSO
247.9674038,33.35820554,GALAXY
248.0423535,33.30316264,STAR
248.0792774,33.32178135,QSO
156.6430671,49.43400494,STAR
13.86216818,0.074546584,GALAXY
37.36851731,0.127032413,GALAXY
170.0610565,57.18863849,QSO
177.1184041,57.70728695,QSO
178.5793804,57.96414455,STAR
19.7141337,-4.525374838,GALAXY
194.098784,7.694195792,QSO
110.9021846,41.7198271,STAR
17.6331563,-10.35517931,STAR
246.953552,38.05236859,GALAXY
203.1681785,46.13941232,STAR
349.4074958,1.688201249,GALAXY
12.34397654,1.759767086,GALAXY
5.052642653,-4.108496417,STAR
19.16075349,-3.844804942,GALAXY
132.9566134,18.82601004,QSO
279.3214428,42.09600327,STAR
205.4554423,7.059685208,GALAXY
27.73873038,13.71264829,GALAXY
327.7677253,-3.244760117,GALAXY
236.6586082,47.85000998,GALAXY
243.6586526,17.72609508,STAR
58.50271995,0.823629704,GALAXY
125.7125514,20.88433443,GALAXY
139.2204997,15.06234984,GALAXY
146.0140029,2.010651919,QSO
359.1222764,11.9312295,QSO
232.4556341,22.79640836,STAR
172.9454106,33.86457444,QSO
148.137883,0.98410905,GALAXY
22.41805031,-6.698262474,GALAXY
151.8487179,29.11770002,GALAXY
36.06757009,-1.182270169,GALAXY
230.4691012,11.54369953,GALAXY
239.7248923,54.10975206,STAR
240.4499156,53.54930592,QSO
240.9205458,53.34797382,QSO
218.71202,49.25970132,QSO
239.579632,45.80922184,GALAXY
8.100907649,11.88978208,GALAXY
216.0145715,24.38967698,QSO
30.72761267,-1.186166194,GALAXY
241.7296106,44.34422001,GALAXY
246.3652776,40.56504063,GALAXY
181.9649291,55.13145592,GALAXY
198.8429829,54.41494019,GALAXY
332.286428,2.741302968,STAR
346.6322751,0.172439449,GALAXY
139.684955,13.95051001,QSO
203.107404,46.25109698,QSO
204.8959865,45.93003838,STAR
16.17966787,-0.44084472,GALAXY
17.35505348,-0.608721806,GALAXY
20.58781035,-0.486227729,GALAXY
0.503445977,-4.637375797,STAR
325.1358201,1.177478554,GALAXY
24.68895338,14.0898032,QSO
14.51056716,14.60554926,STAR
203.3976564,7.293291047,GALAXY
168.4776206,7.296643212,QSO
175.3962262,7.414312339,GALAXY
221.6638595,41.42597279,GALAXY
134.5927299,19.45972941,STAR
43.19690468,-2.430991343,QSO
43.54749542,-2.156832501,GALAXY
121.6487485,42.67756199,GALAXY
207.886327,52.15652837,QSO
227.2506384,45.9448262,QSO
182.1829646,51.15780225,GALAXY
182.4004931,51.03084201,GALAXY
223.395834,22.50050178,STAR
147.306379,2.068266075,STAR
234.1966831,19.17001266,GALAXY
353.9946962,18.22643845,QSO
168.203639,56.95348189,STAR
176.1798795,57.77506928,QSO
42.32395549,-3.665374079,GALAXY
182.0333888,34.37409372,QSO
132.5188814,0.940864703,QSO
352.502857,15.79075166,STAR
6.795791276,11.90119884,QSO
346.1949776,24.59529443,QSO
347.3212811,22.68630037,STAR
346.6380322,23.90888819,QSO
167.7201498,46.3737275,GALAXY
355.0711663,26.43551615,GALAXY
145.3392476,1.998588042,STAR
200.9152713,26.82439659,QSO
337.8011622,1.331031795,STAR
243.5639127,36.06813749,STAR
215.3023182,50.38968056,QSO
234.6363605,49.06826772,GALAXY
356.586756,20.1098332,GALAXY
241.7130159,35.59918007,STAR
109.5196063,39.53291768,STAR
9.328269396,4.609848047,QSO
319.9929454,0.875987479,GALAXY
321.9957774,0.909993076,GALAXY
324.6492417,0.867114833,GALAXY
321.4529216,0.935071306,GALAXY
319.2902744,0.87526575,QSO
352.2720817,3.127277457,QSO
105.3841655,39.47548521,STAR
233.6534865,17.12986991,GALAXY
232.9807673,17.54822094,GALAXY
233.5891047,17.29915729,GALAXY
140.8087548,34.96144071,STAR
110.9378321,41.87547459,QSO
128.5608384,60.67313353,STAR
17.26345751,32.46013544,GALAXY
191.2964301,58.40693257,GALAXY
244.3201734,40.47178435,GALAXY
110.5335155,42.43490545,GALAXY
354.2797555,30.56870319,GALAXY
10.68257774,30.89268222,GALAXY
321.7503525,-0.563434861,QSO
160.2503021,26.38414416,QSO
141.5198297,47.33815605,GALAXY
336.4841583,1.529309157,GALAXY
355.3213172,1.632775287,GALAXY
5.990307914,8.488104312,GALAXY
126.8737888,27.17623093,QSO
199.4075901,46.65849969,QSO
233.9166911,14.03785265,STAR
353.5363925,8.668127671,QSO
194.0124579,7.420755945,GALAXY
352.0593272,26.18151515,QSO
123.7769832,12.17659415,STAR
128.095811,13.66633036,STAR
2.257687902,22.55678551,GALAXY
328.7112961,-3.389756417,GALAXY
346.2554757,24.69259482,QSO
230.2517684,20.521852,QSO
231.4818474,19.9566559,STAR
145.8356114,16.91752674,GALAXY
182.3675322,43.1012844,GALAXY
4.334805916,26.69313682,GALAXY
355.7133733,26.53816023,GALAXY
243.8884194,25.61645559,GALAXY
239.2556082,28.56648538,GALAXY
172.9467658,33.81344633,QSO
234.1558809,49.20531678,GALAXY
201.4041291,53.88877323,GALAXY
14.00604502,-0.429991499,GALAXY
16.57434814,-0.595548927,GALAXY
17.1443457,-0.458447483,GALAXY
1.008456294,-5.517907883,QSO
203.7857263,46.13668468,QSO
208.5331697,45.02901393,QSO
176.3615117,57.70552965,QSO
185.8838918,58.0821509,QSO
123.8570038,58.17905591,GALAXY
123.3370678,48.7270134,QSO
117.9551771,43.2119339,STAR
43.7030541,-1.961923145,GALAXY
189.0013909,-2.67776205,STAR
23.10344771,14.11033541,GALAXY
174.2145931,57.65939719,STAR
219.9605506,41.96327304,STAR
241.6013913,37.46335235,STAR
162.1952917,-1.307799104,STAR
162.7933653,-1.409386518,STAR
243.9165576,15.39791379,STAR
212.8944655,30.6065013,GALAXY
318.2800551,0.852364131,GALAXY
102.4272133,38.52465421,STAR
105.7870195,39.55443112,STAR
0.581517581,8.987506876,STAR
221.5431381,31.53896438,GALAXY
217.9167477,33.59013685,GALAXY
250.682508,30.77671147,QSO
22.02173692,-6.551003383,GALAXY
22.96549562,-6.544187333,GALAXY
179.3518039,57.86942906,STAR
353.8466382,22.96245497,STAR
356.6782221,23.32508863,QSO
286.0873448,39.99660876,STAR
139.0879214,20.39058284,GALAXY
140.8552077,20.97901542,GALAXY
239.8409252,19.35659929,QSO
238.2946501,55.15756362,QSO
240.6366935,53.70356587,QSO
134.7073334,56.27840099,QSO
27.81047793,-1.250603977,GALAXY
186.3332964,17.48307682,GALAXY
109.6739727,31.16827097,STAR
17.95419701,-0.49749552,GALAXY
244.7431241,53.98620111,STAR
134.0428945,19.18148296,STAR
125.7124763,50.93518685,STAR
43.65996259,-1.904328081,GALAXY
245.2516864,17.05179469,QSO
210.2531334,2.904037984,GALAXY
215.2966479,2.80135289,GALAXY
3.924593183,-4.127232947,GALAXY
3.291301199,8.368178823,GALAXY
189.7447927,7.650623323,GALAXY
318.352733,1.036833595,GALAXY
344.236981,5.832076706,GALAXY
169.1072137,32.84051734,GALAXY
181.2210917,33.77978707,GALAXY
12.19953463,18.35489298,STAR
346.9172253,23.32788716,STAR
347.3241336,0.06435439,GALAXY
143.5208173,2.040739294,STAR
14.30666216,-1.054524802,GALAXY
21.37555984,-1.05305147,GALAXY
28.29613211,-1.177788833,GALAXY
33.82858103,-1.077791521,GALAXY
286.2094614,40.04413035,STAR
140.0272551,20.67434016,GALAXY
250.186508,31.42139807,STAR
10.86654808,1.65969808,GALAXY
54.24042338,-0.628948288,GALAXY
25.58335191,-1.66093813,GALAXY
34.52490591,-1.132458233,GALAXY
13.15178222,-1.06300729,GALAXY
22.58072386,-1.158063931,GALAXY
236.6040921,56.08055906,QSO
238.67799,54.86480145,QSO
101.3614123,38.16524429,STAR
170.3202249,32.99223868,GALAXY
163.4485411,26.95791322,QSO
168.4284893,27.79354182,QSO
179.7179009,30.0818274,GALAXY
131.7028548,54.65032521,STAR
237.198421,11.2149465,GALAXY
239.2597018,19.80240112,STAR
187.8831594,21.28431552,GALAXY
140.3996815,15.19681624,GALAXY
189.6656475,21.26720803,GALAXY
132.4771327,43.10866689,GALAXY
179.4801786,57.87129692,STAR
4.85669803,-4.077676702,GALAXY
172.6549894,7.381330981,GALAXY
199.919738,7.305426883,GALAXY
188.7142149,7.587257443,GALAXY
177.9887408,7.47712398,GALAXY
132.4256975,12.84580041,GALAXY
327.7089521,-3.223851031,GALAXY
329.6507542,-3.399273464,GALAXY
101.5626504,-0.855922862,GALAXY
7.675374168,12.05384743,STAR
348.1792956,21.06800479,STAR
349.5120996,18.81615124,QSO
320.4945775,0.854928589,GALAXY
321.4590761,0.918240369,GALAXY
224.7003204,35.84627445,STAR
132.5491008,0.942952579,GALAXY
130.1089847,0.863786915,GALAXY
334.371672,16.85214831,STAR
238.1119954,55.33293806,QSO
239.1086527,54.74905529,QSO
9.123683859,-8.212950794,GALAXY
12.9118522,-8.249444651,GALAXY
22.83530031,-6.571286435,GALAXY
168.5319791,56.9696924,QSO
175.1177259,57.61247003,GALAXY
119.7171547,18.72010904,GALAXY
127.0372043,21.32596576,GALAXY
229.5181615,49.52387668,GALAXY
37.17404682,0.010208401,GALAXY
40.9688698,0.152685643,GALAXY
240.5926456,44.74619572,STAR
322.1910166,-0.536470053,QSO
29.14824493,-1.223261542,GALAXY
29.16393633,-1.167653532,GALAXY
32.07296712,-1.19185706,GALAXY
4.470065509,-1.216857221,GALAXY
9.88776844,-1.152933718,GALAXY
28.3046131,10.91751865,GALAXY
29.2275622,10.96046886,GALAXY
238.9442047,9.603469341,GALAXY
48.89047018,-0.441727669,GALAXY
57.6639241,-0.473750514,GALAXY
130.3273831,24.47356109,GALAXY
168.9551127,27.77850442,QSO
169.6598383,28.03848245,STAR
202.4167803,11.17066381,QSO
353.7183222,8.375098479,GALAXY
218.7054022,37.06993239,GALAXY
225.2765805,44.82455845,STAR
176.7267418,34.13596668,QSO
179.2398586,34.36300237,QSO
182.8581971,34.3689746,QSO
183.6207527,34.42574123,STAR
215.1813691,0.59087823,STAR
253.6498497,27.64429917,STAR
141.7250748,0.865137272,GALAXY
240.1062065,53.90616913,QSO
241.2935327,53.191133,QSO
241.5473361,53.05289374,STAR
241.0117834,45.16550741,STAR
181.9438757,57.96845577,STAR
332.8926933,19.13112202,STAR
133.8372984,55.80226176,STAR
124.4007417,15.09687419,QSO
319.89975,-0.494892968,STAR
321.8274062,-0.492003886,QSO
27.7499106,-1.060974375,GALAXY
30.5491738,-1.141951263,GALAXY
4.188308125,-1.141276966,GALAXY
13.71112339,-1.063691131,GALAXY
13.91682638,-1.250505485,GALAXY
19.77533238,-1.239469156,GALAXY
111.4031695,40.89336425,GALAXY
258.5935484,36.36265483,STAR
17.19913421,30.93222196,QSO
19.09076265,30.84595348,STAR
22.73433669,30.26259814,QSO
241.0177274,37.23228442,GALAXY
148.4148532,46.38584804,STAR
244.8562255,53.37525828,STAR
154.3024356,29.79816891,GALAXY
171.4068666,28.10675449,QSO
132.0892841,26.56753604,STAR
239.3177362,39.02054735,QSO
23.73496815,-1.59861065,GALAXY
148.3633587,15.86093312,GALAXY
230.8057982,44.19536561,QSO
336.9998622,1.493374654,GALAXY
354.3515405,1.821137303,GALAXY
318.3526123,4.01951449,GALAXY
124.0290704,18.8714354,GALAXY
190.2184484,3.213323514,GALAXY
337.555777,10.66952692,GALAXY
356.7305046,4.047190295,GALAXY
224.737194,23.57838289,GALAXY
220.0376491,24.90918629,GALAXY
145.3369543,-0.074402539,STAR
9.44287445,1.348387327,GALAXY
216.8016877,22.29471148,GALAXY
211.6601367,55.84047668,GALAXY
114.4018408,47.21609249,QSO
5.416873762,26.41782192,GALAXY
348.0176269,33.09974504,GALAXY
331.1800523,18.90487733,QSO
243.2037933,43.26481965,GALAXY
237.3892886,56.85063841,GALAXY
113.9755898,47.46705033,QSO
111.0600115,43.25150825,GALAXY
112.448903,45.29120718,GALAXY
122.7800746,57.13271286,GALAXY
202.9479742,46.18360244,QSO
204.8047637,45.82646673,QSO
0.310914235,-4.047775272,QSO
0.548391465,-4.497765325,STAR
2.941155629,21.17577931,GALAXY
11.99114962,14.79576319,QSO
26.93391581,13.85570839,STAR
191.8777961,7.619060753,GALAXY
181.2732643,7.651846913,GALAXY
222.3180634,48.01257259,QSO
225.0559312,12.61256583,QSO
217.0672204,13.96620242,GALAXY
345.6948055,25.70525067,STAR
348.1838023,21.12946954,STAR
346.9120628,23.37468501,STAR
340.8213559,32.95792211,QSO
349.8799795,18.28754051,STAR
258.1447748,26.7012555,STAR
163.1384341,20.0781232,GALAXY
321.525844,0.868937757,GALAXY
321.497864,0.930933261,GALAXY
324.0132371,0.948845288,GALAXY
145.5446217,0.939369465,GALAXY
146.0597673,0.977124029,GALAXY
248.2966507,33.17553906,STAR
250.8900179,30.58164664,QSO
4.59711852,-8.303858303,GALAXY
20.88671946,-6.755667786,GALAXY
241.0279188,18.78646699,STAR
237.3752243,20.3687727,QSO
234.1033122,22.08155,STAR
168.1597751,26.43801903,GALAXY
223.9648317,36.13413125,GALAXY
167.3991209,56.80206364,STAR
124.2090306,20.42692425,GALAXY
153.2306096,-1.279361802,QSO
131.8148863,54.55810311,STAR
153.5696539,20.94880003,STAR
119.6454211,54.48940596,GALAXY
115.1579899,48.399024,QSO
206.5570798,2.991681749,GALAXY
187.6129,7.763935343,QSO
195.8454149,7.637572219,STAR
126.7036851,16.02473483,STAR
127.5053941,52.29768599,STAR
27.11224717,13.8096559,STAR
351.1583698,1.747638431,QSO
359.2110972,1.77288698,GALAXY
249.9834851,31.49140808,QSO
22.12628031,0.004030285,GALAXY
35.51310334,-1.166657737,GALAXY
329.7545302,-3.310561962,GALAXY
118.201317,18.06883753,GALAXY
221.2377316,31.61367239,GALAXY
345.7199471,25.48039366,STAR
346.8306637,23.35713384,STAR
348.2910207,21.14460465,QSO
245.1080996,17.12263563,QSO
165.0648276,27.24770216,QSO
170.5088497,28.02760366,STAR
172.1186703,28.29033482,QSO
0.309077266,-3.963319228,STAR
335.874746,19.74444879,STAR
177.0464013,57.83703971,STAR
241.530716,52.88358295,QSO
17.14489676,45.53588371,STAR
118.3843736,37.90782845,GALAXY
12.74156991,-1.20889751,GALAXY
331.8473853,19.05944488,QSO
7.728159633,-4.049217971,GALAXY
212.3044633,15.879863,GALAXY
23.71217118,-1.657702839,GALAXY
24.45235344,-1.592786432,GALAXY
167.7948009,41.56696236,GALAXY
179.7624283,58.0009551,STAR
217.6332593,49.57172956,STAR
120.4554328,55.24189058,GALAXY
132.2820596,63.6837367,GALAXY
49.02266054,0.707234675,GALAXY
45.06293541,36.93639152,STAR
46.04830084,38.32783742,STAR
169.3412608,7.418645592,GALAXY
196.8129583,7.535700406,GALAXY
180.3733357,33.6768139,GALAXY
2.508169049,18.47830314,QSO
164.3652817,55.24208603,GALAXY
0.07573855,-3.726222157,STAR
113.9017405,41.84535628,QSO
109.9342683,41.05276671,STAR
345.9118018,20.65863433,GALAXY
106.6397749,11.86881945,STAR
27.56716622,11.08054454,GALAXY
215.1456065,14.35029182,GALAXY
218.1677483,13.8966619,GALAXY
246.6038172,16.36709567,STAR
172.4344041,28.34857721,STAR
20.38943536,14.32780214,QSO
5.205259903,14.90501194,QSO
234.9133892,21.79057647,QSO
4.530986038,11.9929877,QSO
221.0381425,31.70600341,GALAXY
327.5291572,-3.29095415,GALAXY
13.96492728,-1.234474002,GALAXY
13.99137156,-1.239893167,GALAXY
116.6816002,17.58260108,GALAXY
119.3266712,18.68107803,GALAXY
125.5898949,20.8084786,GALAXY
173.191326,33.89530817,QSO
180.7347825,34.3363115,STAR
182.7803337,34.47790423,QSO
166.2012634,26.04108948,GALAXY
31.26477962,0.175134025,GALAXY
355.2692263,8.907765039,STAR
99.82766908,37.67910514,STAR
127.0963825,-0.148075427,STAR
136.9032107,-0.166253889,QSO
174.0007663,57.63645232,QSO
176.9733237,57.67535138,QSO
184.9328297,58.09560345,QSO
143.0281688,44.65914468,GALAXY
243.2113887,50.75159927,GALAXY
148.0051535,1.008464612,GALAXY
130.511832,0.856095174,GALAXY
201.7067149,57.61503861,GALAXY
191.9220453,58.52135571,GALAXY
205.7638682,56.84490316,GALAXY
12.64123984,-1.107647981,GALAXY
17.85331301,-1.148092111,GALAXY
216.3475113,26.4282495,GALAXY
133.0462656,55.22727646,STAR
44.74229371,1.230291701,GALAXY
133.0540136,23.48762955,GALAXY
193.5544277,3.186741376,GALAXY
171.8552595,20.88982021,GALAXY
17.32169271,-10.19521835,GALAXY
182.1777279,33.89799048,GALAXY
116.7845522,17.59933581,GALAXY
248.0944821,33.18216483,QSO
22.08125292,-6.546800836,GALAXY
22.68426172,-6.600882664,GALAXY
5.110970917,-1.060927013,GALAXY
25.14048895,-1.070905646,GALAXY
36.77300827,-1.06819797,GALAXY
137.9853447,20.01319226,GALAXY
178.8439152,34.42345841,STAR
163.5821847,25.71636266,GALAXY
171.3826315,26.65058641,GALAXY
272.1281744,23.86253444,STAR
125.0650297,33.15222336,GALAXY
216.3428626,14.19070261,GALAXY
27.81085317,-1.187840758,GALAXY
3.964453196,-1.076121578,GALAXY
8.956752298,-1.240427737,GALAXY
8.83897743,-4.101893753,GALAXY
37.34206377,1.377140743,GALAXY
131.1396144,45.80419919,GALAXY
172.6746018,28.35191638,STAR
128.4286923,24.55384326,GALAXY
7.488096088,11.92390463,QSO
241.7784075,55.89382237,STAR
166.107514,56.53737197,STAR
172.9244528,57.42299587,GALAXY
214.6832399,50.66935881,QSO
228.6766184,45.32339235,QSO
243.7125035,50.18368931,GALAXY
241.498529,51.96744616,GALAXY
224.483298,60.75348242,GALAXY
54.22801362,0.672898958,GALAXY
56.00646213,0.652871558,STAR
56.81107826,0.791261362,GALAXY
162.550698,19.78540305,GALAXY
118.4639746,37.92661695,GALAXY
127.6184729,46.43635499,STAR
133.0969952,31.01435834,QSO
126.2908006,45.39745634,GALAXY
118.3773103,9.234063479,GALAXY
118.5630625,9.318415017,GALAXY
136.2815717,15.9869756,GALAXY
139.6560691,16.96592585,GALAXY
151.984406,20.13369776,GALAXY
158.9923109,48.24807248,GALAXY
133.4976743,11.34590553,STAR
358.4539876,26.5113745,QSO
177.6856795,57.72020763,STAR
8.782065763,26.76527644,QSO
336.9151653,18.01699078,GALAXY
341.032899,18.78591438,GALAXY
4.734783494,26.32941701,STAR
55.26680821,-0.563414284,GALAXY
50.06105064,-0.459723662,GALAXY
185.0630991,57.93091546,STAR
163.4681914,31.98984694,GALAXY
319.226779,9.51258415,STAR
9.64604467,3.213196661,STAR
318.2111145,2.46156414,STAR
345.7668386,0.022448582,GALAXY
216.9250462,56.05236453,QSO
348.0414403,21.44887689,QSO
223.8640466,36.03639158,GALAXY
235.218156,56.8884581,STAR
236.0908782,56.4451321,QSO
239.5889163,54.42159178,QSO
126.2885532,21.2000761,GALAXY
0.246995848,-3.809057976,STAR
0.432687211,-4.109299577,STAR
1.082095826,-5.448076433,QSO
134.4797057,31.83950373,STAR
321.273131,-0.607219378,QSO
31.39736529,-1.247605693,GALAXY
33.90435148,-1.098761909,GALAXY
48.16460551,-1.059920468,GALAXY
127.8692676,27.93474534,GALAXY
248.0820924,50.74140788,QSO
241.238289,56.3960016,QSO
272.324262,23.64705366,STAR
211.8891814,51.3923192,QSO
219.4441143,49.13955662,QSO
38.76921867,27.21375485,STAR
179.2107197,21.23179593,GALAXY
196.1804063,7.535908604,GALAXY
175.7662261,7.433576057,GALAXY
198.0928196,7.363142211,GALAXY
236.6894906,4.381008733,STAR
132.9991348,23.42234859,GALAXY
20.87679205,-6.66377691,GALAXY
124.7447983,44.23091558,GALAXY
219.4825447,49.12107032,QSO
231.7614452,43.7548029,STAR
241.0504215,37.9108643,QSO
154.5757797,43.42848877,GALAXY
195.6974232,47.10930308,GALAXY
159.8140155,21.72842133,GALAXY
160.8561335,21.8298071,GALAXY
198.657187,3.084848567,QSO
7.190946474,-10.50344409,STAR
218.0829114,25.91894356,GALAXY
28.78273576,-1.203558579,QSO
32.71172295,-1.147742012,GALAXY
16.21112328,-1.141373546,GALAXY
6.645795873,-1.226802957,GALAXY
7.492496031,-1.224096574,GALAXY
15.15329513,-1.124923559,GALAXY
279.3579375,42.13262286,STAR
40.24411348,-3.068309031,QSO
354.2821255,8.855695992,QSO
228.9023921,11.90440533,GALAXY
182.8094598,51.19881829,GALAXY
120.6942032,8.853031343,GALAXY
210.4965266,19.23560884,GALAXY
237.8420114,12.89729555,GALAXY
321.7741737,0.974183177,GALAXY
319.1182101,0.878612414,GALAXY
321.0225965,0.891286523,GALAXY
319.3825577,0.884511786,GALAXY
285.8880136,40.06839595,STAR
250.0848563,31.60864553,QSO
129.8858075,23.36754556,GALAXY
247.6154998,15.84340341,QSO
159.1009309,26.36539501,QSO
160.7223207,26.66268365,QSO
168.3044539,27.72199563,QSO
221.5383799,32.33438965,GALAXY
248.5720114,-0.070032217,GALAXY
134.8474822,32.08436991,STAR
183.3454305,58.01410968,QSO
20.91654414,30.5466088,GALAXY
241.5774716,52.83172044,STAR
7.490701732,1.798626727,GALAXY
201.4683036,57.55312136,GALAXY
167.0968345,41.37405201,GALAXY
246.9848733,50.27059938,QSO
239.1106123,39.13849765,STAR
235.9144253,41.35374869,STAR
240.8491271,38.10613586,QSO
170.7976669,57.31150913,QSO
23.73746252,-1.704642542,QSO
358.7643023,5.157521604,GALAXY
2.478182481,5.069371248,GALAXY
187.2651806,34.51381154,QSO
196.3714029,33.85292304,GALAXY
52.03060753,0.710850996,GALAXY
237.1557965,47.52787773,GALAXY
14.04446603,-1.116917522,GALAXY
19.87154331,-1.108398315,GALAXY
137.8690673,20.00846139,GALAXY
240.7414232,18.88956357,STAR
323.9848164,2.723723693,STAR
20.98479099,0.208479992,GALAXY
24.40472737,0.040212393,GALAXY
227.9224866,52.17469785,STAR
355.406377,8.920723825,STAR
242.7879461,37.69087242,STAR
192.106364,11.72796177,QSO
238.4486551,54.88667293,GALAXY
241.067311,53.42769716,STAR
121.0298484,19.16308444,GALAXY
328.6060065,45.99624524,STAR
179.3811823,57.89329346,GALAXY
182.0581152,58.05272204,STAR
182.1620942,58.05324817,STAR
142.9504876,44.6393776,GALAXY
320.5588563,-0.606653024,QSO
29.3219731,-1.134844725,GALAXY
7.620111785,-1.144906363,GALAXY
11.13628934,-1.1261192,GALAXY
12.85120443,-1.240663211,GALAXY
13.74158729,-1.221482314,GALAXY
14.77001143,-1.165761776,GALAXY
16.95220971,-1.227317816,GALAXY
150.1031209,19.81753074,GALAXY
160.1370879,21.80629016,GALAXY
150.5640676,45.84567516,GALAXY
13.32649562,1.754108603,GALAXY
215.3122513,54.88266573,GALAXY
134.5529078,56.29465039,STAR
359.8894143,-7.937381783,GALAXY
13.92347124,11.82595925,QSO
239.7888903,10.65499127,GALAXY
221.6619549,36.03746541,GALAXY
51.30501885,0.764283654,GALAXY
50.56516128,0.685895726,GALAXY
179.2603995,57.93187172,STAR
179.2977614,57.97298385,QSO
171.5886023,57.33385346,QSO
327.00392,0.770648897,STAR
161.9755459,19.6328356,GALAXY
128.8106167,40.27619525,GALAXY
184.0486982,7.526779582,GALAXY
350.175177,25.98246422,STAR
175.834495,57.75184919,QSO
124.42287,43.72172393,GALAXY
164.8792985,27.26850444,STAR
165.6963856,27.52144782,STAR
142.078721,31.23465001,GALAXY
24.43227629,-1.109127878,GALAXY
4.167683603,-1.129560206,GALAXY
6.359329391,-1.057064236,GALAXY
21.06170612,-1.089381556,GALAXY
345.8977823,21.16894357,STAR
135.1630633,56.57842504,STAR
28.26025885,-1.576670832,GALAXY
356.0530627,4.952184236,GALAXY
238.0382129,11.07722096,GALAXY
241.9253001,10.04326322,GALAXY
244.5814352,9.314889974,GALAXY
144.1606101,15.08730834,STAR
170.5359416,57.14203095,STAR
171.4536833,57.21179233,QSO
175.1148426,57.56545158,STAR
348.9447372,1.631048763,GALAXY
321.8389272,1.18168948,GALAXY
190.1749683,3.208978844,GALAXY
329.6560973,18.53567399,STAR
190.0884026,21.40034581,GALAXY
7.029191557,18.33450561,QSO
128.8856548,28.3845178,GALAXY
130.2683697,29.34946827,GALAXY
336.8232658,24.2269547,STAR
223.2782422,14.3044998,GALAXY
248.2573294,15.44981319,STAR
122.3789131,57.01964316,GALAXY
45.34040837,0.643780283,GALAXY
49.93657779,0.759004022,GALAXY
52.93966835,0.70051964,GALAXY
57.17436691,0.754143543,GALAXY
198.4443039,47.20717301,GALAXY
213.2562282,44.35299058,GALAXY
141.076423,29.45901182,STAR
141.7288152,29.76236938,QSO
116.4562623,31.37836298,GALAXY
232.5036269,36.23997085,QSO
256.0242666,19.31385743,STAR
120.4175105,10.01804116,GALAXY
157.8160164,21.29918409,GALAXY
162.7761925,49.07175259,GALAXY
176.1115799,57.65118652,QSO
329.8800053,1.081088247,GALAXY
247.2033981,39.30523004,GALAXY
225.6617547,53.11885413,GALAXY
17.77055051,30.82464139,QSO
132.6085548,55.19531663,STAR
237.0059561,55.94662496,STAR
237.748721,55.4121372,STAR
238.0715635,55.32899266,QSO
124.2848727,43.58317359,QSO
179.4231948,57.94285505,QSO
181.3023956,57.89594094,STAR
36.56860203,-3.997998675,QSO
117.0782239,36.51270639,GALAXY
115.3595061,39.68855138,STAR
30.61345458,-1.150025457,GALAXY
36.68481037,-1.089140606,GALAXY
37.59057078,-1.175258223,GALAXY
24.07278783,-1.109378733,GALAXY
31.96909569,-1.162628191,GALAXY
22.87040532,-1.16412841,GALAXY
213.586971,30.47934934,GALAXY
166.1217142,27.58204877,STAR
168.7378317,27.90320559,QSO
212.3090192,16.03338092,GALAXY
57.11815879,-0.494141181,GALAXY
1.532731713,5.180780429,GALAXY
3.321286161,5.129732856,GALAXY
10.9355195,-3.994356664,QSO
1.705672077,11.91389806,QSO
211.8235687,51.22456426,STAR
215.7909531,50.35045814,QSO
334.0780655,1.326958737,GALAXY
347.9129754,1.672594172,GALAXY
341.8384033,11.09199507,GALAXY
342.7166928,10.97650119,GALAXY
191.4482574,22.242718,GALAXY
34.38061042,2.62630115,GALAXY
24.73518384,2.886857876,GALAXY
26.21388542,2.940743761,GALAXY
235.611346,21.42640084,QSO
52.78204587,0.694583558,GALAXY
53.55911893,0.637386083,GALAXY
46.84649387,0.731769109,GALAXY
3.886911964,26.78702756,STAR
10.05771157,26.64752483,STAR
218.3965419,15.11051004,GALAXY
174.8239364,47.10251279,GALAXY
239.2118795,45.67342413,GALAXY
254.8643144,31.49881539,GALAXY
207.707657,58.33329079,GALAXY
196.9267393,47.38504042,GALAXY
124.5690088,44.01723523,GALAXY
125.0506898,44.36577551,GALAXY
8.757392219,-1.204982721,GALAXY
27.28236076,-1.175151072,GALAXY
28.77521487,-1.20833151,GALAXY
33.87192404,-1.177122592,GALAXY
118.018614,18.00032756,GALAXY
133.6680882,1.040432122,GALAXY
34.77644743,-4.106519471,GALAXY
19.57522891,30.67501865,QSO
180.9203654,51.02154059,GALAXY
185.1785673,58.09549032,GALAXY
114.3422044,41.53241537,STAR
43.73228452,-1.965550464,GALAXY
26.09350976,29.25226725,STAR
321.8245642,-0.543791401,QSO
30.53325218,-1.156507146,GALAXY
